Item,Date,Document
,"7h - Record date set for 1:2 bonus share issue on 29 May 2026, subject to approvals.","[Record Date For Issuance Of Bonus Shares 7h - Record date set for 1:2 bonus share issue on 29 May 2026, subject to approvals.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/4e089674-1c28-444c-9371-90f05af3b34b.pdf)"
,7 May - Of schedule of Analyst / Institutional Investors Meeting,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 7 May - Of schedule of Analyst / Institutional Investors Meeting](https://www.bseindia.com/xml-data/corpfiling/AttachLive/741e3f7d-fe8e-45c0-9511-0e4dcd6e4677.pdf)
,6h - 74th AGM on 23 June 2026; dividend record date fixed for 10 June 2026.,[Intimation Of Date Of Annual General Meeting And Record Date For Dividend 6h - 74th AGM on 23 June 2026; dividend record date fixed for 10 June 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/7853f3a1-ce77-4ab4-b951-c5369da7eeb5.pdf)
,6 May - Record date for 1:2 bonus shares revised from 29 May 2026 to 4 June 2026.,[Intimation Of Revision In The Record Date For Issuance Of Bonus Shares 6 May - Record date for 1:2 bonus shares revised from 29 May 2026 to 4 June 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/1ace6bbf-4a33-45e1-a249-00b077f9127d.pdf)
,6 Apr - Trent filed Regulation 74(5) certificate for quarter ended 31 March 2026.,"[Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018 6 Apr - Trent filed Regulation 74(5) certificate for quarter ended 31 March 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/95091a99-9f68-4ef8-887b-bf8d1b8fd813.pdf)"
,"6 Apr - Q4FY26 revenue rose 20% to Rs 4,937 Cr; FY26 revenue up 18% to Rs 19,701 Cr, stores at 1,286.","[Update For Q4FY26 And FY26 6 Apr - Q4FY26 revenue rose 20% to Rs 4,937 Cr; FY26 revenue up 18% to Rs 19,701 Cr, stores at 1,286.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/0af0d119-bb73-401d-8f2f-bc9a44b252d3.pdf)"
,"5h - Postal ballot seeks 1:2 bonus issue, share capital reclassification, and ESOP 2026 approval.","[Shareholder Meeting / Postal Ballot-Notice of Postal Ballot 5h - Postal ballot seeks 1:2 bonus issue, share capital reclassification, and ESOP 2026 approval.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/ceef8559-73cb-4861-97d0-acb9f3cd94d8.pdf)"
,30 Apr - Of schedule of Analyst / Institutional Investors Meetings,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 30 Apr - Of schedule of Analyst / Institutional Investors Meetings](https://www.bseindia.com/xml-data/corpfiling/AttachLive/f0ba9d78-93e5-4b1d-8dc7-c1ea68c5ed78.pdf)
,"28 Apr - Trent details TDS on ₹6 dividend, proposed 1:2 bonus, and document submission by 27 May 2026.","[Communication To Shareholders - Intimation About Tax Deduction At Source On Dividend 28 Apr - Trent details TDS on ₹6 dividend, proposed 1:2 bonus, and document submission by 27 May 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/f9664764-f0e8-495b-8dc3-3d07d9f24a37.pdf)"
,"26 Mar - Board approved issuance of unsecured redeemable NCDs up to Rs500 crore on private placement, 26 March 2026.","[Board Meeting Outcome for Outcome Of Board Meeting Held Today I.E. 26Th March 2026 26 Mar - Board approved issuance of unsecured redeemable NCDs up to Rs500 crore on private placement, 26 March 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/1e891d36-63f4-4bda-9e6a-c928e94ea9e0.pdf)"
,Date,Document
,---,---
,2026-08-31,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4d2cb78e-5e1c-4bc1-9916-18717ccd28ff.pdf)
,2026-08-10,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a2112052-17d4-4e49-bc92-3387d9468724.pdf)
,2026-08-07,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=561963cd-a244-478c-a17f-e2c44ad6a309.pdf)
,2026-08-07,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b4908c56-f884-4210-b839-b3efecaef5db.pdf)
,2026-08-06,[Board Meeting Outcome for Outcome Of Board Meeting Held Today I.E. 6Th August 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f6ae8961-998e-42b6-8cf9-b547aa17edb5.pdf)
,2026-08-06,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=01ad4488-8e9b-4115-a48b-a6e95a6abaea.pdf)
,2026-08-06,[Announcement under Regulation 30 (LODR)-Change in Management](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=de4a3c84-d1e6-428b-ba66-7eca1a1dd7d5.pdf)
,2026-08-06,[Announcement under Regulation 30 (LODR)-Appointment of Statutory Auditor/s](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=30dcf53d-53dc-4067-b246-c2717ec83909.pdf)
,2026-08-06,[Grant Of Stock Options Under Trent Limited - Employee Stock Option Plan 2026.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1c10721e-aa2d-472b-b708-794a6dc82386.pdf)
,2026-07-31,[Intimation Under Regulation 30 Of The Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements) Regulations 2015](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=64de7737-5daf-4092-80f8-20a1387986a0.pdf)
,Date,Document
,---,---
