Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,20.34%,39.52%,—
,ebitda margin growth,-48.62%,-4.37%,-3.43%,596.55%
,net income growth,-51.71%,-14.63%,25%,32%
,revenue growth,-27.87%,7.86%,13%,43%
,roce,-53.29%,-18.17%,-21.79%,13.68%
,roe,-51.7%,-25.14%,14.99%,-551.67%
