Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,28.17%,28.17%,28.17%,28.17%,28.17%,28.17%,28.17%,28.17%,28.17%,28.17%,28.17%,28.17%
FIIs,14.98%,14.47%,13.94%,12.41%,12.14%,12.29%,10.76%,9.68%,8.85%,8.79%,8.74%,9.17%
DIIs,15.72%,16.89%,19.06%,21.57%,23.37%,24.3%,25.85%,25.55%,26.33%,26.31%,25.55%,24.67%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,33.08%,32.82%,31.79%,31.32%,30.25%,29.13%,29.19%,30.51%,30.54%,30.54%,31.28%,31.62%
Others,8.05%,7.65%,7.04%,6.53%,6.07%,6.11%,6.03%,6.09%,6.11%,6.19%,6.26%,6.37%
No. of Shareholders,112274,137734,144972,165880,165935,165808,172801,205807,208539,202411,201519,201974
