Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,90.92%,-35.88%,-21.04%
,ebitda margin growth,4.01%,0.51%,-0.27%,31.56%
,net income growth,3.98%,47.85%,14%,110%
,revenue growth,9.87%,17.33%,14%,13%
,roce,5.04%,5.56%,21.46%,4.42%
,roe,3.99%,30.26%,7.04%,970.27%
