Item,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%
FIIs,0%,4.55%,5.06%,5.01%,4.33%,4.33%,3.94%,3.98%,3.69%,3.58%
DIIs,0%,9.15%,8.89%,9.28%,9.96%,9.81%,10.24%,10.28%,10.6%,10.64%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,0%,1.06%,0.88%,0.59%,0.58%,0.69%,0.66%,0.59%,0.56%,0.59%
Others,30%,15.24%,15.17%,15.12%,15.13%,15.17%,15.16%,15.15%,15.15%,15.19%
No. of Shareholders,7,106437,100982,87449,85480,96675,95145,91986,89246,89330
