Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,819,843,1047,1222,1222,1294,1213,1357,1377,1441,1437,1581
Expenses,665,697,917,1006,1026,1081,1027,1151,1185,1210,1217,1326
Operating Profit,154,146,130,216,196,213,186,206,192,231,220,254
OPM %,19,17,12,18,16,16,15,15,14,16,15,16
Other Income,-7,5,14,10,5,9,13,13,3,-10,18,19
Interest,42,48,57,63,65,67,70,67,69,70,70,70
Depreciation,86,93,126,132,139,147,152,150,155,167,182,180
Profit before tax,19,10,-38,31,-4,9,-22,3,-29,-16,-15,23
Tax %,-88,48,29,27,26,190,-25,19,-18,-31,-32,25
Net Profit,36,5,-49,22,-5,-8,-17,2,-24,-11,-10,17
EPS in Rs,0.28,0.08,-0.06,0.25,0,0,-0.12,0.03,-0.18,-0.08,-0.08,0.12
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1111,1311,1516,1135,2084,2998,3556,4951,5611,5835,,
Expenses,1015,1106,1254,945,1608,2341,2991,4112,4752,4938,,
Operating Profit,96,205,262,189,476,657,565,839,860,898,,
OPM %,9,16,17,17,23,22,16,17,15,15,,
Other Income,23,42,2,131,-3,12,18,33,31,30,,
Interest,34,137,161,155,129,149,189,267,278,279,,
Depreciation,55,203,223,229,221,278,391,592,670,685,,
Profit before tax,30,-93,-120,-64,123,242,4,13,-57,-37,,
Tax %,-3,1,2,-2,-26,-9,363,154,-25,—,,
Net Profit,31,-94,-121,-63,155,263,-10,-7,-43,-28,,
EPS in Rs,4.33,-7.46,-11.46,-0.48,1.3,2.2,0.39,0.08,-0.31,-0.22,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,106,106,106,106,115,120,120,121,121,123,,
Reserves,-19,33,-176,-295,-2,566,850,935,974,1419,,
Borrowings,306,371,488,1832,1336,1254,1565,2906,3188,3833,,
Other Liabilities,202,218,1390,240,219,322,450,971,1057,1375,,
Total Liabilities,596,728,1807,1884,1668,2263,2985,4932,5339,6750,,
Fixed Assets,406,445,1578,1635,1392,1756,2427,4216,4622,5686,,
CWIP,15,56,12,14,14,7,15,11,3,8,,
Investments,0,0,0,0,0,0,0,0,1,2,,
Other Assets,174,226,218,235,262,500,543,705,712,1054,,
Total Assets,596,728,1807,1884,1668,2263,2985,4932,5339,6750,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,90,91,278,301,240,451,637,766,900,927,,
Cash from Investing Activity,-67,-140,-165,-91,-355,-375,-349,-1551,-461,-419,,
Cash from Financing Activity,-32,56,-130,-223,142,-58,-283,889,-425,-197,,
Net Cash Flow,-9,7,-18,-13,27,17,5,105,14,310,,
Free Cash Flow,21,-49,137,202,107,158,213,305,418,486,,
CFO/OP,232,99,136,115,126,97,104,140,107,109,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,6,6,6,4,5,4,4,5,3,4,,
Inventory Days,39,48,52,57,66,52,52,45,35,34,,
Days Payable,129,139,128,129,171,119,98,130,105,127,,
Cash Conversion Cycle,-85,-84,-70,-68,-100,-64,-42,-79,-66,-89,,
Working Capital Days,-70,-65,-95,-108,-95,-26,-37,-65,-60,-85,,
ROCE %,-19,15,7,6,2,16,18,6,6,5,,
