Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,51.55%,72.73%,-20.99%
,ebitda margin growth,-4.56%,25.59%,46.65%,-41.7%
,net income growth,-19.55%,242.99%,10%,8%
,revenue growth,-4.18%,6.12%,-2%,8%
,roce,-15.07%,38.9%,211.85%,12.91%
,roe,-19.55%,202.31%,2.88%,-70.58%
