Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,15.13%,1.22%,93.52%
,ebitda margin growth,42.89%,3.77%,6.06%,7.45%
,net income growth,57.64%,32.05%,33%,55%
,revenue growth,21.36%,27.78%,31%,36%
,roce,46.02%,-8.03%,12.71%,47.79%
,roe,57.57%,-10.27%,39.04%,10.19%
