Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1241,1204,1230,1288,1308,1326,1359,1385,1421,1431,1450,1508
Expenses,1010,996,1027,1092,1107,1119,1146,1174,1201,1181,1215,1287
Operating Profit,231,208,203,196,201,207,212,211,220,250,236,221
OPM %,19,17,17,15,15,16,16,15,15,17,16,15
Other Income,36,42,52,42,41,31,46,57,49,38,66,57
Interest,6,6,3,4,4,4,5,4,4,2,2,4
Depreciation,37,31,24,25,30,24,24,23,25,20,23,28
Profit before tax,225,212,229,210,208,210,230,241,240,265,276,246
Tax %,23,24,24,25,25,24,23,24,24,25,24,25
Net Profit,174,162,173,158,156,160,176,182,182,200,211,184
EPS in Rs,7.68,7.14,7.65,6.97,6.86,7.04,7.77,8.01,8.01,8.79,9.26,8.08
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,3108,3966,4182,3781,4244,4848,4902,5281,5687,5811,,
Expenses,2743,3487,3675,3097,3587,4296,4030,4464,4771,4884,,
Operating Profit,365,479,507,685,656,552,872,817,916,926,,
OPM %,12,12,12,18,15,11,18,15,16,16,,
Other Income,74,93,88,-24,138,103,159,160,209,210,,
Interest,23,37,61,54,35,28,21,17,12,12,,
Depreciation,65,89,159,175,185,183,134,102,91,97,,
Profit before tax,352,445,376,433,574,444,876,858,1022,1027,,
Tax %,30,28,28,29,27,26,24,24,24,—,,
Net Profit,246,319,272,307,422,328,665,650,775,776,,
EPS in Rs,10.74,13.93,11.69,13.3,18.4,14.47,29.34,28.61,34.05,34.14,,
Dividend Payout %,22,20,24,27,27,35,31,45,44,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,45,45,45,45,45,45,45,45,45,45,,
Reserves,1427,1624,1897,2045,2297,2642,2931,3517,4024,4674,,
Borrowings,134,9,300,332,350,335,273,186,125,79,,
Other Liabilities,500,618,847,1174,742,817,872,899,978,1274,,
Total Liabilities,2106,2296,3090,3596,3433,3840,4121,4648,5173,6072,,
Fixed Assets,447,592,950,1323,1133,1254,1174,1034,1170,1223,,
CWIP,3,6,12,11,0,1,0,5,1,176,,
Investments,243,275,115,278,517,324,899,1408,1714,1921,,
Other Assets,1413,1424,2013,1983,1783,2260,2049,2200,2288,2753,,
Total Assets,2106,2296,3090,3596,3433,3840,4121,4648,5173,6072,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,304,206,156,686,858,336,714,642,565,771,,
Cash from Investing Activity,-204,-142,-229,-315,-530,3,-527,-476,-473,-224,,
Cash from Financing Activity,-50,-204,201,-197,-467,-183,-219,-197,-264,-401,,
Net Cash Flow,50,-140,128,175,-139,156,-31,-31,-172,146,,
Free Cash Flow,269,154,104,608,819,279,681,627,530,719,,
CFO/OP,107,85,61,158,146,74,146,100,96,105,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,64,75,81,58,57,69,55,55,55,59,,
Inventory Days,—,—,—,—,—,—,—,—,—,—,,
Days Payable,—,—,—,—,—,—,—,—,—,—,,
Cash Conversion Cycle,64,75,81,58,57,69,55,55,55,59,,
Working Capital Days,49,70,57,20,19,36,21,27,30,20,,
ROCE %,24,23,23,18,21,21,15,25,21,23,,
