Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-46.71%,249.01%,218.5%
,ebitda margin growth,14.82%,-1.38%,4.46%,31.23%
,net income growth,29.05%,35.6%,33%,38%
,revenue growth,9.26%,27.02%,21%,24%
,roce,15.2%,27.64%,33.12%,21.79%
,roe,29.05%,19.49%,25.99%,105.67%
