Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,21.58%,82.14%,168.43%
,ebitda margin growth,33.98%,-6.73%,-11.98%,-14.5%
,net income growth,71.11%,159.61%,21%,13%
,revenue growth,28.82%,15.87%,28%,23%
,roce,39.07%,28.8%,-2.9%,8.75%
,roe,71.11%,124.94%,7.25%,-19.68%
