Item,Dec 2025,Mar 2026,Jun 2026
Promoters,16.76%,16.57%,16.41%
FIIs,4.31%,4.17%,5.19%
DIIs,5.28%,5.55%,9.14%
Government,0%,0%,0%
Public,1.56%,2.63%,3.28%
Others,72.1%,71.07%,65.98%
No. of Shareholders,168,189154,246157
