Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-17.37%,-25.87%,-45.63%
,ebitda margin growth,29.7%,-19.68%,-39.9%,—
,net income growth,48.61%,-19.19%,-1%,4%
,revenue growth,15.47%,12.59%,9%,31%
,roce,45.66%,-23.59%,-47.54%,—
,roe,48.61%,-26.06%,18.56%,—
