Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-75.59%,-101.8%,-100.99%
,ebitda margin growth,2.04%,1.45%,1.92%,22.19%
,net income growth,2.51%,4.8%,32%,47%
,revenue growth,-0.04%,0.19%,10%,9%
,roce,1.43%,-3.27%,-2.31%,5.36%
,roe,2.51%,-10.67%,14.62%,91.29%
