Item,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,55.39%,55.39%,55.39%,55.22%,55.22%,55.22%,55.22%,55.22%,55.21%,55.18%,55.17%
FIIs,2.02%,1.09%,1.63%,3.62%,3.1%,3.1%,4.87%,5.25%,5.52%,5.77%,6.3%
DIIs,2.4%,1.64%,1.91%,3.58%,3.06%,2.48%,3.32%,2.87%,2.93%,3.44%,4.48%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,15.28%,17.83%,20.02%,23.01%,24.29%,24.99%,27.88%,28.12%,27.74%,26.92%,25.44%
Others,24.9%,24.05%,21.05%,14.57%,14.33%,14.2%,8.71%,8.54%,8.59%,8.68%,8.61%
No. of Shareholders,1039670,1178340,1241880,1279750,1350830,1374610,1411040,1390010,1345080,1299830,1239120
