Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-17.24%,-10.68%,193.89%
,ebitda margin growth,-45.68%,-3.11%,4.91%,-11.47%
,net income growth,-138.52%,19.28%,33%,39%
,revenue growth,2.54%,10.91%,9%,22%
,roce,-71.85%,-4.56%,-18.1%,15.74%
,roe,-138.51%,15.15%,11.33%,-29.85%
