Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,—,35.21%,—
,ebitda margin growth,8.16%,6.93%,-28.1%,-30.9%
,net income growth,-16.1%,-78.35%,-32%,30%
,revenue growth,0.11%,4.7%,10%,27%
,roce,4.89%,-20.36%,-60.23%,13.33%
,roe,-16.2%,-80.04%,7.95%,-88.13%
