Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-59.34%,-92.14%,-84.33%
,ebitda margin growth,6.94%,-68.82%,-78.9%,-75.73%
,net income growth,4.95%,-23.52%,6%,10%
,revenue growth,12.73%,-34.64%,-1%,5%
,roce,—,-10.06%,35.51%,11.39%
,roe,—,-18.64%,13.84%,42.81%
