Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-92.48%,-312.73%,-558.01%
,ebitda margin growth,-7.01%,8.91%,16.53%,8.27%
,net income growth,-10.62%,41.31%,54%,67%
,revenue growth,1.66%,21.42%,42%,45%
,roce,-4.43%,-17.91%,16.93%,18.83%
,roe,-10.66%,-27.98%,15.87%,131.81%
