Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-2.82%,10.62%,—
,ebitda margin growth,120.09%,-27.25%,-29.42%,286.4%
,net income growth,90.62%,-132.98%,-129.29%,10%
,revenue growth,7.48%,6.44%,16%,42%
,roce,-253.03%,-74.11%,-83.08%,7.04%
,roe,-90.62%,-144.22%,150.86%,-133.29%
