Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1179,1130,1105,1151,1214,1576,1749,1784,2002,2057,2226,2432
Expenses,942,910,898,954,1021,1377,1506,1519,1700,1745,1868,2048
Operating Profit,238,220,207,197,193,199,244,265,302,312,359,384
OPM %,20,19,19,17,16,13,14,15,15,15,16,16
Other Income,5,4,6,5,7,-6,-5,-3,9,24,19,24
Interest,42,44,46,49,41,58,68,66,77,79,86,86
Depreciation,67,70,72,72,76,103,95,102,109,115,118,120
Profit before tax,134,109,94,81,82,31,76,94,125,142,173,201
Tax %,22,26,25,26,25,59,12,26,28,25,33,25
Net Profit,104,81,71,59,62,13,67,70,91,107,116,151
EPS in Rs,44.75,34.61,29.5,22.3,25.86,5.42,27.99,29.18,38.09,44.9,48.8,57.56
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1479,1818,1492,1560,2217,3183,4452,5690,8069,8717,,
Expenses,1185,1375,1095,1122,1683,2499,3573,4857,6832,7360,,
Operating Profit,294,443,398,438,534,684,879,833,1238,1357,,
OPM %,20,24,27,28,24,21,20,15,15,16,,
Other Income,12,14,3,10,8,13,18,0,50,76,,
Interest,112,141,149,107,84,120,175,217,309,329,,
Depreciation,149,176,196,192,206,222,278,347,444,462,,
Profit before tax,44,140,56,149,252,355,445,270,534,642,,
Tax %,28,30,28,35,35,29,24,26,28,—,,
Net Profit,32,97,40,97,163,251,337,201,384,465,,
EPS in Rs,313.39,48.39,19.88,46.08,77.19,117.56,144.11,81.56,160.96,189.35,,
Dividend Payout %,3,5,0,0,5,10,8,6,7,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,6,10,10,10,11,11,11,11,12,12,,
Reserves,566,587,673,712,959,1125,1366,1647,2845,3252,,
Borrowings,777,847,985,1058,806,800,1240,1755,2358,3623,,
Other Liabilities,469,556,657,527,576,739,1190,1293,1902,2091,,
Total Liabilities,1818,1999,2325,2307,2352,2675,3807,4706,7116,8978,,
Fixed Assets,1228,1323,1589,1546,1510,1544,2124,2567,3670,4676,,
CWIP,11,24,91,89,32,42,97,179,345,382,,
Investments,3,4,4,3,2,3,3,4,11,14,,
Other Assets,576,648,642,669,807,1086,1583,1956,3090,3906,,
Total Assets,1818,1999,2325,2307,2352,2675,3807,4706,7116,8978,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,257,283,360,306,362,327,608,513,283,522,,
Cash from Investing Activity,-319,-210,-359,-138,-95,-209,-683,-625,-1643,-1302,,
Cash from Financing Activity,78,-60,-18,-128,-296,-120,73,148,1393,827,,
Net Cash Flow,16,12,-17,40,-28,-2,-2,36,34,47,,
Free Cash Flow,-64,71,0,167,266,117,268,-115,-706,-647,,
CFO/OP,114,100,87,82,88,68,100,75,43,50,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,57,50,42,48,56,49,61,47,59,50,,
Inventory Days,217,—,168,203,222,221,187,160,157,145,,
Days Payable,285,—,172,175,193,163,155,123,157,121,,
Cash Conversion Cycle,-11,50,38,75,85,107,94,84,59,74,,
Working Capital Days,22,20,10,43,-14,1,23,14,2,1,,
ROCE %,—,11,18,12,14,18,21,20,12,14,,
