Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,20.55%,47.62%,71.26%
,ebitda margin growth,9.4%,2.81%,0.78%,-5.97%
,net income growth,10.86%,20.31%,24%,14%
,revenue growth,7.98%,19.34%,21%,17%
,roce,11.35%,-2.88%,-4.28%,20.3%
,roe,10.79%,0.44%,18.06%,-23.33%
