Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,3226,4167,1575,1674,1761,2201,1719,1831,1982,2374,1990,2026
Expenses,2904,3613,1540,1585,1683,1908,1520,1726,1920,2072,1802,1915
Operating Profit,323,553,35,89,77,293,199,106,62,302,188,111
OPM %,10,13,2.2,5,4.4,13,12,6,3.1,13,9,5
Other Income,46,51,84,57,134,95,243,64,55,40,112,56
Interest,208,245,152,132,141,151,143,113,124,132,146,137
Depreciation,389,444,287,274,286,296,315,316,325,350,349,350
Profit before tax,-229,-85,-321,-260,-217,-59,-15,-260,-333,-141,-195,-320
Tax %,-12,27,-17,-17,-19,-28,52,-10,-11,-3,-16,-22
Net Profit,-200,-108,-266,-215,-175,-42,-24,-234,-295,-137,-164,-249
EPS in Rs,-1.89,-0.82,-2.26,-1.59,-1.36,-0.48,-0.14,-1.74,-2.16,-1.25,-1.22,-1.76
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Sales,8118,8788,5249,8136,12418,6441,7351,8176,8371,,,
Expenses,7525,7528,4666,6998,10860,6033,6653,7474,7709,,,
Operating Profit,593,1259,583,1138,1557,408,699,702,662,,,
OPM %,7,14,11,14,13,6,10,9,8,,,
Other Income,63,63,73,103,123,319,525,270,262,,,
Interest,225,469,530,389,536,588,608,561,539,,,
Depreciation,282,885,963,997,1227,1017,1166,1339,1374,,,
Profit before tax,149,-33,-838,-145,-82,-877,-550,-928,-989,,,
Tax %,-115,402,-12,-18,-28,-16,-17,-11,—,,,
Net Profit,321,-165,-736,-118,-59,-736,-456,-830,-845,,,
EPS in Rs,3.72,-1.89,-7.93,-1.16,-0.38,-6.19,-3.08,-6.36,-6.39,,,
Dividend Payout %,0,0,0,0,0,0,0,0,—,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,773,774,915,938,949,1015,1220,1221,,,,
Reserves,655,294,1729,1835,2394,3007,5592,4619,,,,
Borrowings,1703,5285,3600,4100,6573,9451,5017,6189,,,,
Other Liabilities,3489,3406,3805,5321,6873,8317,4565,5367,,,,
Total Liabilities,6621,9758,10049,12195,16790,21790,16394,17395,,,,
Fixed Assets,2555,4940,5627,6059,8359,11879,9417,10377,,,,
CWIP,22,48,38,103,204,171,181,98,,,,
Investments,4,14,418,684,267,985,1749,1240,,,,
Other Assets,4039,4756,3966,5348,7960,8756,5046,5680,,,,
Total Assets,6621,9758,10049,12195,16790,21790,16394,17395,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,528,644,1104,951,636,1341,1681,161,,,,
Cash from Investing Activity,-277,-551,-855,-553,-387,-2992,-1665,-267,,,,
Cash from Financing Activity,-266,116,-269,-526,326,1412,296,-594,,,,
Net Cash Flow,-15,210,-21,-128,574,-239,313,-700,,,,
Free Cash Flow,248,332,945,632,-35,600,1089,-295,,,,
CFO/OP,92,52,190,85,41,339,246,34,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Debtor Days,35,35,42,34,26,73,19,18,,,,
Inventory Days,179,205,263,287,277,532,282,298,,,,
Days Payable,223,198,307,335,253,487,258,262,,,,
Cash Conversion Cycle,-9,42,-1,-13,50,117,43,54,,,,
Working Capital Days,-34,-75,-65,-53,-24,-72,-11,-16,,,,
ROCE %,—,9,-5,3,5,-4,-3,-4,,,,
