Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-25.1%,42.01%,-13.01%
,ebitda margin growth,-8.83%,0.32%,0.9%,1.69%
,net income growth,290.75%,-21.54%,-22%,-19%
,revenue growth,-8.2%,39.87%,16%,13%
,roce,33.96%,30.65%,22.95%,6.02%
,roe,-290.72%,-22.01%,5.58%,-40.16%
