Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-4.59%,44.77%,100.47%
,ebitda margin growth,30.6%,-0.66%,-13.17%,-6.96%
,net income growth,13.93%,1.74%,6%,58%
,revenue growth,21.58%,-1.77%,12%,16%
,roce,36.78%,-24.24%,-51.03%,20.02%
,roe,13.93%,-11.67%,29.97%,-25.63%
