Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,22516,22205,22208,21964,22302,22319,22504,22135,22697,23556,24236,24479
Expenses,18546,18007,17828,17614,17798,17779,17880,17902,18325,19259,19327,19846
Operating Profit,3970,4198,4381,4350,4503,4540,4624,4233,4372,4296,4909,4633
OPM %,18,19,20,20,20,20,21,19,19,18,20,19
Other Income,740,598,653,730,962,1005,1217,1072,963,1008,857,979
Interest,303,312,331,329,357,415,377,361,361,366,370,473
Depreciation,897,932,840,729,831,676,722,686,692,805,728,804
Profit before tax,3509,3552,3862,4022,4278,4453,4743,4258,4282,4134,4668,4334
Tax %,24,24,26,24,25,24,24,22,24,24,25,23
Net Profit,2667,2701,2858,3037,3227,3367,3588,3336,3262,3145,3522,3356
EPS in Rs,2.53,2.58,2.71,2.87,3.07,3.2,3.41,3.18,3.1,2.97,3.34,3.38
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,54487,59019,61138,61935,79312,90488,89760,89088,92624,94968,,
Expenses,44100,47406,48795,47164,62628,73649,73008,71067,74813,76757,,
Operating Profit,10387,11613,12342,14771,16684,16839,16752,18021,17811,18211,,
OPM %,19,20,20,24,21,19,19,20,19,19,,
Other Income,2550,2614,2728,2404,2067,2275,2631,3909,3899,3807,,
Interest,583,738,733,509,532,1008,1255,1477,1458,1570,,
Depreciation,2112,1947,2086,2763,3078,3340,3407,2958,2911,3030,,
Profit before tax,10242,11542,12252,13903,15141,14766,14721,17496,17342,17418,,
Tax %,22,22,20,22,19,23,25,24,24,—,,
Net Profit,8003,9018,9772,10868,12243,11366,11112,13218,13266,13285,,
EPS in Rs,6.63,7.46,8.51,9.85,11.15,10.34,10.57,12.54,12.58,12.79,,
Dividend Payout %,6,7,6,5,27,5,5,48,87,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,486,905,1207,1143,1096,1096,1098,1045,2094,2098,,
Reserves,51184,47022,55216,54179,53805,64307,76570,73488,80270,85921,,
Borrowings,14241,13901,9947,9724,10451,17593,17467,16465,19204,20291,,
Other Liabilities,12761,13563,16217,15954,17213,24280,21789,23611,26362,32574,,
Total Liabilities,78672,75391,82586,81000,82566,107276,116924,114609,127929,140884,,
Fixed Assets,19886,18127,17465,22062,23040,37990,44757,43628,45187,51690,,
CWIP,738,1378,2142,1881,1853,1602,617,723,196,412,,
Investments,29913,25797,22887,20032,18775,26154,33073,33384,43926,46786,,
Other Assets,28135,30090,40093,37024,38898,41531,38477,36873,38620,41995,,
Total Assets,78672,75391,82586,81000,82566,107276,116924,114609,127929,140884,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,9277,8423,11632,10064,14755,11080,13060,17622,16943,14932,,
Cash from Investing Activity,-11770,3595,5065,3593,685,-22321,-8169,1144,-8044,-2448,,
Cash from Financing Activity,-2275,-12998,-4937,-15100,-12884,4659,-6088,-18257,-6396,-14126,,
Net Cash Flow,-4767,-979,11760,-1442,2556,-6583,-1197,509,2502,-1642,,
Free Cash Flow,7750,6353,9548,7842,12873,9138,11631,16973,15621,13447,,
CFO/OP,104,108,122,87,117,82,96,114,109,99,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,62,68,62,62,56,53,51,47,48,54,,
Inventory Days,—,—,—,—,—,—,—,—,—,—,,
Days Payable,—,—,—,—,—,—,—,—,—,—,,
Cash Conversion Cycle,62,68,62,62,56,53,51,47,48,54,,
Working Capital Days,-23,3,-13,-18,-31,-15,-3,-4,-17,-47,,
ROCE %,19,17,19,20,22,21,18,17,20,18,,
