Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,52.74%,35.71%,109.13%
,ebitda margin growth,-4.21%,9.57%,9.93%,5.9%
,net income growth,-8.75%,33.2%,28%,36%
,revenue growth,6.96%,23.62%,21%,29%
,roce,-5.84%,2.73%,2.26%,27.56%
,roe,-8.73%,7.4%,22.67%,16.1%
