Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,166.25%,257.22%,784.12%
,ebitda margin growth,-63.76%,53.63%,92.19%,80.4%
,net income growth,-70.81%,199.74%,36%,21%
,revenue growth,-36.97%,20.08%,13%,14%
,roce,-66.36%,76%,128.37%,3.86%
,roe,-70.81%,183.33%,3.14%,264.29%
