Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-56.58%,298.22%,243.69%
,ebitda margin growth,38.33%,36.15%,-1.48%,178.81%
,net income growth,30.26%,171.28%,118%,17%
,revenue growth,15.16%,11.48%,17%,39%
,roce,43.55%,-38.69%,-140.2%,-125.33%
,roe,30.26%,-38.95%,-2.89%,-91.84%
