Item,Metric,QoQ,1Y,3Y
,ebitda margin growth,18.16%,5.34%,-2.89%
,net income growth,17.7%,1.82%,174%
,revenue growth,4.22%,-14.39%,36.74%
,roce,—,126.06%,-75.8%
,roe,—,132.28%,46.44%
