Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,153.35%,94.93%,102.48%
,ebitda margin growth,-34.16%,12.78%,93.02%,86.75%
,net income growth,20.74%,12.99%,422%,147%
,revenue growth,-3.59%,11.52%,8%,11%
,roce,-36.7%,6.03%,-16.57%,25.22%
,roe,20.7%,4.73%,8.66%,—
