Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-71.91%,-106.69%,-404.21%
,ebitda margin growth,-17.41%,15.72%,52.08%,75.48%
,net income growth,-37.76%,29.8%,5%,26%
,revenue growth,-23.53%,18.5%,10%,19%
,roce,-18.35%,21.37%,49.82%,10.78%
,roe,-37.76%,19.54%,7.68%,37.02%
