Item,Date,Document
,2026-09-09,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1cfc0106-22a1-4678-be8e-d38c44d05667.pdf)
,2026-09-09,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2cfdc6c6-a093-4165-bf1b-e2d66566d988.pdf)
,2026-09-03,[Issuance Of Letter Of Intent In Favor Of The Preferred Bidder](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9cca5be7-5345-4a73-9d4a-ac2b038fbf1a.pdf)
,2026-09-03,[Intimation Under SEBI Listing Regulations-ESG Rating(S)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a943bd21-7ddf-4664-878f-250fb61ff588.pdf)
,2026-09-02,[Disclosures under Reg. 29(2) of SEBI (SAST) Regulations 2011](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=A25B3334_00E0_494A_BE2A_574E35D555D0_173352.pdf)
,2026-08-25,[Disclosure under Regulation 30A of LODR](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cdb3faf3-c5a3-4dbb-8786-37adaa1b4e68.pdf)
,2026-08-18,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=79e8ffba-7568-4110-bacd-86f1fd650b5e.pdf)
,2026-08-15,[Board Meeting Outcome for Disclosure Under Regulation 30 & 51(2) Read With Schedule III Of SEBI (Listing Obligations And Disclosure Requirements) Regulations 2015 As Amended (SEBI Listing Regulations)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fc9c3c51-34f0-47be-a00b-35d5e1853145.pdf)
,2026-08-15,[Announcement under Regulation 30 (LODR)-Change in Directorate](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=265c00fc-c25d-41df-bd54-cd23b173de3a.pdf)
