Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,15062,15319,16250,17046,17466,18317,18479,18467,18521,19052,19573,20097
Expenses,4546,4190,6041,5269,5456,4485,6050,5399,4849,5201,5989,5390
Financing Profit,1260,1337,-33,1084,607,1666,97,747,1142,1346,800,1551
Financing Margin %,8,9,0,6,3,9,1,4,6,7,4,8
Other Income,1717,1202,1830,1338,2532,1780,3455,1692,2218,2327,3280,2615
Interest,9256,9792,10242,10693,11403,12166,12333,12321,12530,12504,12785,13156
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,2977,2539,1797,2422,3138,3447,3551,2439,3361,3674,4079,4167
Tax %,50,25,17,28,24,26,25,28,25,25,25,25
Net Profit,1499,1931,1574,1890,2422,2638,2602,1831,2576,2814,3089,3304
EPS in Rs,3.65,4.24,3.46,4.15,5.32,5.79,5.72,4.02,5.66,6.18,6.78,7.25
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,38313,41005,42591,40854,38281,47932,61073,71308,75613,77244,,
Expenses,24618,26874,26386,17672,16263,21177,18848,20656,20708,21429,,
Financing Profit,-13984,-13076,-10987,-3239,-2065,-686,4469,4057,4766,4840,,
Financing Margin %,-36,-32,-26,-8,-5,-1,7,6,6,6,,
Other Income,5846,4862,6687,6778,8092,7168,6415,9317,9737,10441,,
Interest,27679,27207,27191,26421,24083,27441,37757,46594,50139,50975,,
Depreciation,522,373,392,380,372,427,509,604,731,0,,
Profit before tax,-8660,-8587,-4692,3160,5655,6056,10375,12771,13773,15281,,
Tax %,-30,-37,-35,34,38,37,37,25,25,—,,
Net Profit,-5982,-5426,-3051,2081,3487,3839,6567,9552,10309,11783,,
EPS in Rs,-34.2,-19.67,-9.31,6.36,8.51,9.35,14.42,20.97,22.64,25.87,,
Dividend Payout %,0,0,0,0,24,21,19,19,21,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,1055,1744,2760,3278,3278,4104,4104,4553,4553,4553,,
Reserves,32574,35013,44892,41795,46703,52418,56329,66028,76172,85405,,
Borrowing,39491,43598,44265,39752,32464,26821,65015,80960,123869,118626,,
Deposits,542352,522997,522555,557386,629098,629981,672194,740611,819806,930973,,
Other Liabilities,16553,11833,16409,20805,21244,29807,28393,32127,32024,39980,,
Total Liabilities,632026,615184,630881,663017,732786,743131,826036,924280,1056425,1179538,,
Fixed Assets,8349,8192,8799,8765,8637,9570,9950,10178,11865,11670,,
CWIP,197,158,200,293,364,286,110,150,182,207,,
Investments,130751,140321,150905,162323,191693,180274,211324,234592,268002,279084,,
Other Assets,492729,466513,470977,491636,532092,553001,604652,679361,776376,888577,,
Total Assets,632026,615184,630881,663017,732786,743131,826036,924280,1056425,1179538,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-6624,-7366,-9218,-4827,37868,-35487,-7045,-4437,18534,4753,,
Cash from Investing Activity,-371,-260,71,-232,-182,-644,-521,-991,-854,-329,,
Cash from Financing Activity,3955,7185,7983,-3192,2398,1146,541,3868,34,-5672,,
Net Cash Flow,-3040,-440,-1164,-8251,40085,-34985,-7026,-1560,17714,-1248,,
Free Cash Flow,-6910,-7620,-9090,-5184,37538,-36035,-7569,-5264,17861,3907,,
CFO/OP,-42,-43,-41,-24,160,-159,-28,-13,37,9,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,-4,-17,-14,-7,4,6,6,10,12,12,,
