Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-16.67%,393.37%,—
,ebitda margin growth,-11.04%,75.44%,160.47%,133.16%
,net income growth,-11.01%,157.24%,122%,54%
,revenue growth,-9.25%,30.2%,22%,19%
,roce,—,90.52%,31.57%,19.44%
,roe,—,109.55%,13.41%,6.29%
