Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,12.63%,27.71%,267.97%
,ebitda margin growth,-28.45%,-0.43%,3.59%,99.94%
,net income growth,-39.45%,11.92%,22%,32%
,revenue growth,-14.95%,16.42%,19%,44%
,roce,-33.28%,-1.8%,18.75%,12.92%
,roe,-39.45%,-7.03%,14.12%,-604.81%
