Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,191.23%,-62.93%,187.96%
,ebitda margin growth,18.69%,-21.91%,-16.97%,-1.19%
,net income growth,17.41%,-33.45%,36%,75%
,revenue growth,18.07%,8.93%,35%,50%
,roce,20.29%,-26.84%,-37.83%,15.35%
,roe,17.51%,-38.29%,9.95%,-46.99%
