Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,2.66%,21.95%,21.27%
,ebitda margin growth,23.14%,15.08%,9.72%,-13.72%
,net income growth,30.4%,46.72%,-4%,10%
,revenue growth,9.14%,7.2%,2%,13%
,roce,27.92%,13.49%,10.08%,17.31%
,roe,30.39%,31.89%,11.54%,-40.73%
