Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-30.27%,-350.96%,-188.16%
,ebitda margin growth,-5.86%,-6.49%,-11.51%,19.74%
,net income growth,-31.28%,4.37%,29%,40%
,revenue growth,3.11%,22.42%,34%,26%
,roce,-5.64%,0.12%,0.72%,7.84%
,roe,-31.28%,13.06%,14.24%,73.74%
