Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,227,290,327,268,284,355,379,316,306,406,416,345
Expenses,125,149,156,153,154,171,175,176,176,201,202,195
Operating Profit,102,141,171,115,131,184,203,140,131,205,215,149
OPM %,45,49,52,43,46,52,54,44,43,50,52,43
Other Income,3,1,4,0,1,1,1,2,2,-30,1,2
Interest,47,53,53,52,51,50,47,45,42,41,39,36
Depreciation,23,33,33,35,35,35,35,34,34,35,35,36
Profit before tax,35,56,89,29,45,100,122,63,56,99,142,79
Tax %,25,21,6,31,23,20,12,23,25,17,18,28
Net Profit,26,44,84,20,35,80,108,48,42,82,116,57
EPS in Rs,0.29,0.45,0.85,0.25,0.37,0.79,1.07,0.48,0.44,0.79,1.15,0.58
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,484,550,669,252,402,875,1071,1286,1444,1473,,
Expenses,348,381,429,194,283,427,548,652,754,774,,
Operating Profit,136,169,241,57,119,448,523,634,690,699,,
OPM %,28,31,36,23,30,51,49,49,48,47,,
Other Income,13,15,11,22,22,10,13,13,-13,-25,,
Interest,78,85,162,190,181,182,208,211,180,159,,
Depreciation,53,54,92,108,104,97,112,139,139,141,,
Profit before tax,18,45,-2,-219,-145,178,216,296,359,375,,
Tax %,21,-25,499,-15,-5,21,16,18,20,—,,
Net Profit,15,56,-13,-187,-137,141,182,243,288,298,,
EPS in Rs,0.18,0.67,-0.12,-1.6,-1.1,1.45,1.87,2.48,2.87,2.96,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,781,786,789,790,790,791,792,792,792,792,,
Reserves,27,28,86,199,127,40,62,175,372,600,,
Borrowings,799,1011,1196,2017,2159,2128,2177,2336,2148,2004,,
Other Liabilities,604,632,701,756,738,674,698,725,763,869,,
Total Liabilities,2212,2458,2772,3763,3815,3633,3729,4028,4075,4265,,
Fixed Assets,1418,1460,1604,3307,3194,3051,2957,3641,3556,3563,,
CWIP,351,559,664,190,242,297,482,25,59,108,,
Investments,6,15,35,14,6,10,6,13,45,73,,
Other Assets,436,425,469,252,374,276,284,348,415,520,,
Total Assets,2212,2458,2772,3763,3815,3633,3729,4028,4075,4265,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,122,115,187,151,41,135,385,465,542,542,,
Cash from Investing Activity,-229,-260,-289,-598,-66,-45,-283,-397,-127,-169,,
Cash from Financing Activity,111,149,113,457,111,-163,-132,-59,-392,-370,,
Net Cash Flow,4,3,10,9,87,-73,-31,10,22,3,,
Free Cash Flow,-108,-128,-93,-482,-23,69,223,134,448,406,,
CFO/OP,108,86,119,63,55,115,91,96,93,85,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,28,40,56,27,45,26,23,24,22,29,,
Inventory Days,57,49,48,57,154,112,—,—,—,—,,
Days Payable,692,739,768,584,1648,807,—,—,—,—,,
Cash Conversion Cycle,-608,-650,-664,-500,-1450,-668,23,24,22,29,,
Working Capital Days,-173,-108,-103,-109,-302,-166,-110,-73,-48,-22,,
ROCE %,4,5,5,5,-1,1,10,11,13,14,,
