Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,7377,7842,8371,8367,8235,8542,8653,8623,8777,9070,9698,9726
Expenses,3534,3377,3561,3920,3500,3373,3968,3381,3328,3853,3573,3129
Financing Profit,-495,-207,-1,-354,-71,185,-553,21,-28,-335,448,803
Financing Margin %,-7,-3,0,-4,-1,2,-6,0,0,-4,5,8
Other Income,1062,1329,1363,1166,1649,1232,1723,1857,1507,1927,1161,988
Interest,4338,4672,4811,4801,4807,4984,5238,5222,5476,5552,5677,5794
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,567,1122,1363,812,1578,1418,1171,1878,1479,1592,1609,1791
Tax %,-7,35,40,-9,42,32,11,33,18,21,54,26
Net Profit,623,738,817,945,926,966,1106,1284,1234,1265,748,1325
EPS in Rs,0.72,0.85,0.94,1.09,1.06,1.11,1.22,1.42,1.36,1.4,0.82,1.46
Gross NPA %,4.61,4.5,4.5,4.54,4.59,3.87,3.18,3.14,3.02,2.71,2.67,2.61
Net NPA %,1.64,1.28,1.24,0.75,0.7,0.61,0.56,0.5,0.49,0.46,0.5,0.51
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,24163,22749,23676,22830,22903,25657,30849,33797,36168,37270,,
Expenses,14015,14580,12135,12419,10477,12778,13099,14102,13578,13884,,
Financing Profit,-7455,-7766,-4464,-4133,-934,-1026,-133,-134,664,888,,
Financing Margin %,-31,-34,-19,-18,-4,-4,0,0,2,2,,
Other Income,2620,2416,3622,2994,2986,4164,4814,5784,6463,5584,,
Interest,17603,15935,16005,14543,13361,13905,17882,19830,21926,22498,,
Depreciation,260,278,285,293,297,386,500,558,530,0,,
Profit before tax,-5096,-5628,-1127,-1431,1755,2752,4181,5092,6597,6472,,
Tax %,0,0,0,-30,38,39,36,23,31,—,,
Net Profit,-5134,-5611,-1252,-995,1083,1688,2677,3943,4531,4571,,
EPS in Rs,-19.63,-13.88,-2.2,-1.7,1.24,1.93,3.07,4.35,5,5.04,,
Dividend Payout %,0,0,0,0,0,0,0,4,36,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,1902,2618,4047,5710,5876,8681,8681,8681,9051,9051,,
Reserves,16309,15592,15349,15827,20621,18868,20536,23693,27830,29950,,
Borrowing,9623,6026,5640,6076,5760,7663,8334,20013,21820,31854,,
Deposits,297309,295354,300311,314201,330328,343165,359775,385541,413271,468444,,
Other Liabilities,9551,7759,6538,15337,7390,8915,9754,9844,8485,11780,,
Total Liabilities,334695,327349,331885,357151,369974,387292,407080,447772,480457,551079,,
Fixed Assets,4300,4353,4320,4346,5142,4964,4786,5345,5214,5202,,
CWIP,0,0,0,0,0,0,0,0,0,0,,
Investments,92277,102769,125453,142526,148518,140775,136569,144010,141652,157607,,
Other Assets,238118,220227,202112,210279,216315,241553,265725,298416,333591,388270,,
Total Assets,334695,327349,331885,357151,369974,387292,407080,447772,480457,551079,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,61871,-44376,-14510,1726,-2003,14277,-8786,-5910,-2460,2804,,
Cash from Investing Activity,-189,-310,-251,-315,-202,-133,-209,-584,-451,-454,,
Cash from Financing Activity,1543,5154,6796,3396,5055,0,0,0,1500,-713,,
Net Cash Flow,63225,-39533,-7965,4807,2849,14143,-8995,-6494,-1410,1637,,
Free Cash Flow,61682,-44687,-14761,1411,-2206,14143,-8995,-6494,-2910,2350,,
CFO/OP,514,-434,-180,16,-19,115,-68,-32,-17,14,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,-13,-28,-30,-6,-4,4,6,9,11,12,,
