Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,72.53%,89.21%,222.72%
,ebitda margin growth,-20.32%,32.42%,18.53%,9.71%
,net income growth,-25.76%,58.91%,23%,27%
,revenue growth,-10.39%,11.57%,13%,22%
,roce,-19.84%,28.11%,21.28%,25.57%
,roe,-25.75%,26.24%,20.34%,-9.59%
