Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-38.73%,-61.82%,-51.99%
,ebitda margin growth,31.28%,1.39%,15.95%,20.78%
,net income growth,36.21%,24%,56%,58%
,revenue growth,5.28%,20.82%,21%,25%
,roce,36.59%,-3.06%,42.62%,14.2%
,roe,36.21%,7.1%,12.39%,47.28%
