Item,Metric,QoQ,1Y,3Y
,cash flow growth,—,-53.03%,—
,ebitda margin growth,116.8%,-13.54%,-21.62%
,net income growth,205.03%,-3.21%,293%
,revenue growth,89.37%,70.41%,328%
,roce,118.03%,13.42%,24.26%
,roe,204.99%,-10.69%,1.21%
