Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2117,1898,1741,2069,2221,1901,1787,1900,1872,1376,1565,1702
Expenses,1566,1344,1299,1486,1593,1389,1332,1381,1331,1073,1228,1335
Operating Profit,551,554,442,583,628,512,456,519,541,302,337,367
OPM %,26,29,25,28,28,27,25,27,29,22,22,22
Other Income,49,58,60,75,123,76,75,89,85,172,74,66
Interest,8,7,11,8,8,8,8,4,3,6,4,8
Depreciation,80,78,80,83,80,99,90,96,98,105,107,104
Profit before tax,512,526,411,566,663,481,432,507,525,363,300,322
Tax %,6,15,10,21,23,22,24,21,22,14,33,24
Net Profit,480,449,370,449,508,373,330,400,409,311,200,244
EPS in Rs,31.67,29.57,24.35,29.58,33.5,24.57,21.78,26.36,26.98,20.52,13.2,16.1
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2277,2841,3366,4577,5300,6492,7666,7978,6714,6516,,
Expenses,1781,2261,2647,3559,4154,4948,5636,5772,4982,4968,,
Operating Profit,496,580,720,1018,1146,1544,2030,2206,1732,1548,,
OPM %,22,20,21,22,22,24,26,28,26,24,,
Other Income,60,58,50,129,105,166,216,345,414,397,,
Interest,7,7,19,34,16,39,44,56,43,20,,
Depreciation,83,93,137,175,202,226,308,352,407,414,,
Profit before tax,466,538,614,938,1033,1444,1895,2142,1696,1510,,
Tax %,21,24,26,21,18,15,11,22,22,—,,
Net Profit,368,410,457,738,844,1230,1682,1660,1321,1165,,
EPS in Rs,26.66,29.72,33.06,48.66,55.62,81.04,110.83,109.43,87.06,76.8,,
Dividend Payout %,15,13,12,10,11,12,14,15,17,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,14,14,14,14,15,15,15,15,15,15,,
Reserves,1613,1911,2272,2605,5327,6105,7183,8716,10142,11215,,
Borrowings,120,83,49,519,373,316,46,191,184,342,,
Other Liabilities,554,618,820,1087,1287,1354,1235,1822,1908,1832,,
Total Liabilities,2301,2626,3155,4225,7002,7791,8480,10744,12249,13405,,
Fixed Assets,945,998,1186,1858,2138,2452,2606,3528,4209,4620,,
CWIP,77,90,183,271,288,114,132,278,550,1030,,
Investments,83,161,129,150,872,900,1016,1336,1531,1360,,
Other Assets,1196,1378,1657,1946,3704,4325,4726,5601,5959,6395,,
Total Assets,2301,2626,3155,4225,7002,7791,8480,10744,12249,13405,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,339,319,391,698,725,529,1501,2036,1413,474,,
Cash from Investing Activity,-235,-180,-322,-985,-2430,-110,-496,-1800,-1421,-612,,
Cash from Financing Activity,-53,-106,-125,350,1690,-177,-483,-222,-286,-171,,
Net Cash Flow,50,33,-56,63,-15,241,522,14,-294,-309,,
Free Cash Flow,198,150,23,29,287,192,1179,1417,575,-632,,
CFO/OP,83,84,88,112,87,61,114,119,81,48,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,68,84,85,70,56,60,43,44,64,88,,
Inventory Days,136,141,126,158,149,178,144,124,95,157,,
Days Payable,90,115,121,117,113,115,86,119,117,125,,
Cash Conversion Cycle,113,110,90,111,93,122,101,49,42,119,,
Working Capital Days,72,89,87,70,72,93,70,48,67,120,,
ROCE %,34,25,25,23,22,17,22,24,23,15,,
