Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-22.62%,238.43%,20.92%
,ebitda margin growth,-56.77%,10.26%,64.24%,-10.29%
,net income growth,-105.64%,170.73%,-21%,-10%
,revenue growth,-43.83%,11.41%,-1%,6%
,roce,-72.76%,44.67%,272.85%,9.64%
,roe,-105.64%,147.93%,0.6%,-64.46%
