Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,58.84%,-16.87%,245.19%
,ebitda margin growth,-0.57%,51.67%,25.37%,6.85%
,net income growth,-57.58%,387.67%,68%,19%
,revenue growth,3.19%,12.68%,4%,11%
,roce,-5.32%,-177.96%,-142.87%,5.28%
,roe,-57.58%,77.39%,-5.51%,-210.47%
