Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,21.24%,150.01%,124.14%
,ebitda margin growth,-33.81%,-9.54%,-18.01%,-11.24%
,net income growth,-37.42%,-2.7%,27%,29%
,revenue growth,-24.32%,9.12%,13%,9%
,roce,-34.29%,12.99%,16.73%,5.21%
,roe,-37.42%,-8.85%,5.41%,148.71%
