Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,694,712,1127,1657,1527,1713,1621,1821,1837,1936,2230,2463
Expenses,595,589,942,1299,1147,1200,1092,1272,1276,1343,1555,1748
Operating Profit,99,123,184,358,381,514,528,548,561,593,675,714
OPM %,14,17,16,22,25,30,33,30,31,31,30,29
Other Income,8,2,12,12,26,36,59,49,84,30,44,46
Interest,21,37,45,45,42,47,43,37,32,47,41,44
Depreciation,16,28,37,79,90,152,177,158,146,70,79,96
Profit before tax,71,61,115,246,275,351,368,403,467,505,598,620
Tax %,25,29,9,19,25,27,25,24,24,22,24,24
Net Profit,53,43,104,198,206,255,278,308,353,392,457,472
EPS in Rs,2.01,1.64,3.95,5.93,4.57,5.66,6.16,6.83,7.8,8.65,10.08,10.2
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,
---,---,---,---,---,---,---,---,---,,,,
Sales,947,701,743,1429,3144,6519,7824,8466,,,,
Expenses,853,648,713,1350,2666,4738,5447,5923,,,,
Operating Profit,94,54,30,78,478,1781,2377,2543,,,,
OPM %,10,8,4,5,15,27,30,30,,,,
Other Income,19,35,25,36,29,134,207,203,,,,
Interest,35,22,43,69,121,177,158,165,,,,
Depreciation,17,12,28,53,96,498,452,391,,,,
Profit before tax,61,56,-16,-8,289,1240,1973,2191,,,,
Tax %,26,54,-8,72,20,24,23,—,,,,
Net Profit,45,26,-14,-13,231,937,1510,1674,,,,
EPS in Rs,1.5,0.94,-0.55,-0.49,8.78,20.79,33.33,36.73,,,,
Dividend Payout %,0,0,0,0,0,2,1,—,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Equity Capital,25,25,26,26,26,45,45,,,,,
Reserves,206,197,368,385,620,2777,4262,,,,,
Borrowings,256,347,455,765,1402,1954,3707,,,,,
Other Liabilities,342,406,491,934,1489,2065,2830,,,,,
Total Liabilities,828,975,1340,2110,3537,6841,10845,,,,,
Fixed Assets,263,425,479,592,1203,978,1747,,,,,
CWIP,21,0,114,349,20,242,2144,,,,,
Investments,6,9,55,59,9,845,670,,,,,
Other Assets,538,541,693,1110,2305,4775,6285,,,,,
Total Assets,828,975,1340,2110,3537,6841,10845,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Cash from Operating Activity,-66,237,5,37,90,1348,1261,,,,,
Cash from Investing Activity,-56,-353,-218,-304,-447,-2410,-2156,,,,,
Cash from Financing Activity,134,109,279,252,549,1608,1559,,,,,
Net Cash Flow,13,-7,66,-16,192,546,664,,,,,
Free Cash Flow,-90,-83,-178,-237,-359,728,-1736,,,,,
CFO/OP,-50,467,57,60,24,98,70,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Debtor Days,74,84,71,15,71,45,46,,,,,
Inventory Days,56,44,135,197,157,121,159,,,,,
Days Payable,76,114,168,124,152,88,90,,,,,
Cash Conversion Cycle,55,14,38,88,76,78,115,,,,,
Working Capital Days,52,-24,-28,-58,-12,-22,27,,,,,
ROCE %,—,13,4,6,25,41,33,,,,,
