Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-226.25%,-488.14%,—
,ebitda margin growth,-8.05%,-5.68%,1.22%,75.05%
,net income growth,-18.35%,6.35%,32%,33%
,revenue growth,-21.24%,12.77%,18%,26%
,roce,-9.04%,-17.91%,-20.05%,28.37%
,roe,-18.35%,-15.41%,27.3%,66.16%
