Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,3.56%,-118.02%,-120.88%
,ebitda margin growth,49.34%,-8.11%,1.02%,22.6%
,net income growth,134.2%,-48.5%,-11%,12%
,revenue growth,-1.8%,-5.38%,-2%,5%
,roce,110.64%,-23.74%,-40.9%,15.7%
,roe,-134.22%,-50.27%,8.78%,-65.23%
