Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,146.67%,166.03%,395.68%
,ebitda margin growth,0.88%,-6.26%,1.72%,7.51%
,net income growth,1.06%,-12.6%,9%,14%
,revenue growth,5.6%,3.8%,18%,16%
,roce,2.65%,-14.9%,-8.43%,5.72%
,roe,1.06%,-24.05%,12.78%,-13.84%
