Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,161.77%,931.86%,715.29%
,ebitda margin growth,-2%,7.43%,163.82%,68.22%
,net income growth,-3.08%,208.57%,395%,158%
,revenue growth,-9.85%,113.95%,101%,64%
,roce,-3.28%,321.98%,211.35%,11.52%
,roe,-3.08%,301.52%,30.75%,—
