Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-141.34%,-32.04%,28.21%
,ebitda margin growth,-28.01%,2.07%,2.78%,29.01%
,net income growth,-46.31%,13.49%,26%,41%
,revenue growth,6.48%,3.07%,12%,10%
,roce,0.88%,-5.08%,-0.18%,4.93%
,roe,-46.3%,-2.25%,14.52%,129.6%
