Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,76.55%,76.55%,76.55%,76.55%,76.55%,76.55%,76.55%,76.55%
FIIs,9.07%,9.1%,9.88%,10.18%,10.55%,9.6%,8.6%,9.49%
DIIs,7.75%,5.88%,5.88%,5.44%,5.14%,5.45%,6.38%,5.51%
Government,0%,0%,0%,0%,0%,0%,0%,0%
Public,5.33%,6.81%,6.28%,6.34%,6.05%,6.5%,6.62%,6.48%
Others,1.3%,1.66%,1.41%,1.49%,1.7%,1.9%,1.84%,1.97%
No. of Shareholders,320812,7,186402,190286,187028,183950,187343,172894
