Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,19.98%,47.33%,42.14%
,ebitda margin growth,73.3%,-0.17%,1.42%,-4.03%
,net income growth,68.17%,10.91%,13%,8%
,revenue growth,49.91%,11.07%,10%,9%
,roce,74.38%,17.31%,22.7%,35.94%
,roe,68.17%,18.48%,30.14%,26.77%
