Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,18.05%,13.68%,937.76%
,ebitda margin growth,-5.49%,-13.74%,-11.29%,66.26%
,net income growth,-5.8%,1.24%,21%,27%
,revenue growth,2.94%,18.83%,16%,21%
,roce,-9.75%,-11.87%,-12.63%,16.23%
,roe,-5.8%,-9.09%,14.84%,95.44%
