Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,24.06%,14.03%,44.05%
,ebitda margin growth,-37.71%,14.68%,-0.32%,6.17%
,net income growth,-52.08%,29.91%,1%,21%
,revenue growth,16.05%,-0.55%,-1%,15%
,roce,-54.55%,14.41%,-14.47%,12.6%
,roe,-52.08%,18.65%,12.59%,-30.17%
