Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-26.14%,-13.87%,40.78%
,ebitda margin growth,77.51%,-6.51%,-5.66%,18.19%
,net income growth,—,-17.8%,14%,44%
,revenue growth,-28.92%,7.25%,16%,18%
,roce,117.13%,-25.59%,-32.06%,22.28%
,roe,—,-28.79%,19.24%,10.54%
