Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,46.66%,276.72%,45.05%
,ebitda margin growth,2.35%,8.44%,17.34%,20.03%
,net income growth,2.35%,-5.89%,8%,9%
,revenue growth,2.8%,10.35%,1%,2%
,roce,—,-2.8%,10.93%,23.59%
,roe,—,-5.55%,16.91%,-19.64%
