Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,607,454,605,388,617,459,414,407,735,456,470,327
Expenses,-74,230,269,210,353,211,-80,215,243,326,314,138
Financing Profit,535,78,201,43,130,117,359,88,385,27,54,85
Financing Margin %,88,17,33,11,21,25,87,22,52,6,11,26
Other Income,5,14,107,17,167,-2,1,36,17,6,-4,31
Interest,145,146,136,135,135,131,134,104,107,103,102,104
Depreciation,21,21,21,20,22,21,21,21,21,21,23,20
Profit before tax,520,71,287,40,275,94,340,103,381,13,27,96
Tax %,66,45,45,318,33,109,23,39,17,-66,-24,37
Net Profit,174,39,157,-88,185,-9,260,62,317,21,34,60
EPS in Rs,0.44,0.08,0.61,-0.41,0.32,-0.12,0.84,0.15,0.53,-0.06,0.05,0.12
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,4322,2821,2880,2082,1556,1699,1988,2021,2077,1988,,
Expenses,1714,1962,1463,2961,2108,986,715,694,1097,1021,,
Financing Profit,463,-944,-34,-2026,-1496,72,702,793,564,551,,
Financing Margin %,11,-33,-1,-97,-96,4,35,39,27,28,,
Other Income,38,311,21,14,39,28,130,40,46,50,,
Interest,2144,1803,1451,1147,943,642,571,535,416,416,,
Depreciation,63,63,81,72,66,74,81,83,86,85,,
Profit before tax,439,-696,-94,-2085,-1523,26,751,749,524,517,,
Tax %,5,-32,137,-8,16,559,68,53,17,—,,
Net Profit,418,-476,-223,-1912,-1761,-120,241,349,435,433,,
EPS in Rs,2.26,-2.88,-1.36,-10.24,-8.71,-0.95,0.47,0.63,0.67,0.64,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,1662,1696,1696,1696,1896,2103,2196,2490,2694,2694,,
Reserves,5208,4193,3661,3553,1842,715,1571,2045,5996,6250,,
Borrowing,23919,20665,16394,12566,11041,7095,6020,5367,3714,3523,,
Other Liabilities,3493,4244,4291,4623,5585,5574,7152,9016,13319,14103,,
Total Liabilities,34282,30798,26042,22439,20364,15487,16939,18918,25724,26570,,
Fixed Assets,1823,1721,1701,1720,1762,1741,1764,1734,1700,1486,,
CWIP,3,2,1,4,9,16,11,13,23,0,,
Investments,5150,7363,5580,3963,5504,6541,7700,8678,15323,15081,,
Other Assets,27306,21712,18760,16752,13089,7190,7464,8493,8678,10004,,
Total Assets,34282,30798,26042,22439,20364,15487,16939,18918,25724,26570,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,802,-972,444,635,-438,-257,-336,12,-984,280,,
Cash from Investing Activity,-8,195,-23,-33,-103,-30,-59,-155,-70,25,,
Cash from Financing Activity,-29,43,-234,196,193,73,465,404,415,-149,,
Net Cash Flow,765,-734,186,798,-348,-213,70,261,-638,156,,
Free Cash Flow,794,-1003,405,603,-545,-288,-383,-24,-1011,313,,
CFO/OP,49,-35,63,48,50,46,-39,6,-71,36,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,-6,6,-12,-4,-43,-56,-6,2,3,2,,
