Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-0.32%,8.44%,24.1%
,ebitda margin growth,51.92%,-12.15%,-23.02%,-26.99%
,net income growth,65.95%,-28.58%,-5%,5%
,revenue growth,6.61%,-0.16%,7%,12%
,roce,76.07%,-31.5%,-45.84%,16.66%
,roe,65.95%,-33.24%,11.39%,-55.24%
