Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,790,868,805,624,689,765,1010,870,921,1210,926,820
Expenses,691,818,728,573,627,667,709,798,802,858,774,693
Operating Profit,99,50,77,51,62,98,301,72,120,352,152,126
OPM %,12,6,10,8,9,13,30,8,13,29,16,15
Other Income,44,30,51,39,47,38,74,36,37,101,101,81
Interest,0,1,1,1,1,1,0,1,1,1,0,1
Depreciation,8,8,11,10,10,10,11,11,10,10,11,10
Profit before tax,134,71,117,79,99,126,364,97,146,442,242,197
Tax %,24,26,23,26,22,25,23,25,25,21,19,20
Net Profit,127,63,116,92,100,109,280,65,83,347,196,158
EPS in Rs,2.27,1.13,2.06,1.63,1.77,1.93,4.98,1.16,1.49,6.18,3.48,2.81
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1824,2476,3237,3144,2913,3330,3281,3088,3928,3878,,
Expenses,1395,2099,2781,2792,2567,3020,2982,2573,3229,3127,,
Operating Profit,429,377,455,352,346,310,299,514,699,750,,
OPM %,24,15,14,11,12,9,9,17,18,19,,
Other Income,176,222,255,34,130,164,219,268,242,320,,
Interest,2,3,4,6,3,3,5,5,5,2,,
Depreciation,24,22,24,24,24,26,35,40,42,41,,
Profit before tax,579,574,683,356,449,446,478,738,894,1027,,
Tax %,34,35,36,27,24,23,25,21,23,—,,
Net Profit,383,368,424,249,140,346,445,580,692,784,,
EPS in Rs,6.07,5.83,6.71,4.43,2.48,6.16,7.92,10.32,12.3,13.96,,
Dividend Payout %,66,69,77,45,121,49,38,39,41,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,337,316,316,316,281,281,281,281,281,281,,
Reserves,2508,2025,2029,2090,1470,1489,1680,1965,2388,2865,,
Borrowings,0,0,0,5,4,4,19,33,22,17,,
Other Liabilities,1551,2173,2416,2685,2687,2404,2408,2454,2574,2707,,
Total Liabilities,4396,4514,4761,5096,4441,4177,4388,4733,5265,5869,,
Fixed Assets,272,257,248,274,263,263,279,298,295,338,,
CWIP,56,52,52,3,1,7,26,36,46,31,,
Investments,533,242,315,461,1324,1088,1179,1380,1395,1606,,
Other Assets,3535,3963,4146,4359,2853,2821,2905,3020,3530,3895,,
Total Assets,4396,4514,4761,5096,4441,4177,4388,4733,5265,5869,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,236,599,549,376,171,48,-113,222,117,319,,
Cash from Investing Activity,197,165,-4,-229,776,61,322,145,-44,-101,,
Cash from Financing Activity,-284,-892,-362,-334,-904,-149,-176,-180,-185,-269,,
Net Cash Flow,150,-129,183,-188,43,-39,34,187,-112,-51,,
Free Cash Flow,237,570,517,358,160,23,-147,188,76,252,,
CFO/OP,127,205,204,132,95,54,7,93,48,70,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,98,112,63,77,62,48,40,37,53,45,,
Cash Conversion Cycle,98,112,63,77,62,48,40,37,53,45,,
Working Capital Days,-164,-215,-198,-164,-186,-179,-125,-124,-101,-60,,
ROCE %,18,22,25,29,25,25,24,22,29,30,,
