Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2064,2227,2447,2402,2495,2653,2863,3205,3670,3994,3938,3967
Expenses,1337,1558,1630,1506,1636,1662,1854,2041,2223,2293,2493,2517
Operating Profit,726,669,817,896,859,992,1009,1165,1447,1701,1445,1450
OPM %,35,30,33,37,34,37,35,36,39,43,37,37
Other Income,184,116,263,160,260,562,241,208,130,-73,260,167
Interest,673,857,823,889,1031,829,955,949,1043,917,950,938
Depreciation,373,393,405,466,474,479,491,489,431,465,452,456
Profit before tax,-135,-465,-148,-300,-386,246,-196,-65,103,246,302,223
Tax %,40,5,13,13,11,18,29,111,66,29,-32,34
Net Profit,-190,-486,-168,-338,-429,202,-253,-137,35,174,400,148
EPS in Rs,-0.15,-0.53,-0.2,-0.23,-0.27,0.25,-0.23,-0.2,-0.04,0.12,0.29,0.09
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,8556,7411,8395,3566,4601,6674,8755,10414,14807,15569,,
Expenses,6999,5958,6217,2661,2316,4947,5783,6639,9050,9527,,
Operating Profit,1558,1453,2178,905,2285,1727,2972,3775,5757,6042,,
OPM %,18,20,26,25,50,26,34,36,39,39,,
Other Income,718,-1228,144,-1930,-521,923,788,1205,524,483,,
Interest,2316,2684,3545,1803,2019,2338,2929,3705,3859,3847,,
Depreciation,1028,984,1064,886,889,1038,1466,1910,1837,1804,,
Profit before tax,-1069,-3444,-2287,-3714,-1144,-727,-635,-635,586,874,,
Tax %,4,-3,-4,-8,-1,16,30,29,19,—,,
Net Profit,-1115,-3356,-2202,-3428,-1131,-840,-828,-817,472,757,,
EPS in Rs,-2.26,-5.93,-4.02,-4.63,-1.7,-0.3,-0.93,-0.37,0.17,0.46,,
Dividend Payout %,0,0,0,0,0,0,0,0,6017,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,604,604,604,604,604,604,604,604,1056,1056,,
Reserves,4739,2842,-1057,-3062,-2322,-1421,-1396,-2768,-3827,-3803,,
Borrowings,21484,23441,27580,34442,36864,26633,32157,35905,38485,43550,,
Other Liabilities,10026,11012,12949,14319,14697,11272,12557,14748,12845,13755,,
Total Liabilities,36852,37898,40075,46302,49843,37087,43921,48489,48559,54558,,
Fixed Assets,15773,15643,16080,16178,12772,10325,15157,28737,28218,28929,,
CWIP,239,589,858,3811,6622,10176,11175,1674,3808,5520,,
Investments,12422,12871,10115,10119,9674,3798,4478,4425,4288,5959,,
Other Assets,8417,8795,13022,16194,20775,12788,13111,13653,12246,14150,,
Total Assets,36852,37898,40075,46302,49843,37087,43921,48489,48559,54558,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,4504,2347,2052,1376,3,3256,2199,3880,3443,4884,,
Cash from Investing Activity,1485,-962,-3605,-987,2434,-2043,-2310,-5792,-3673,-3589,,
Cash from Financing Activity,-5727,-1191,816,1617,-1056,-3894,1731,467,-1010,-1238,,
Net Cash Flow,263,194,-737,2005,1382,-2681,1620,-1445,-1241,56,,
Free Cash Flow,3887,1673,-782,-1510,-1514,194,-1685,-641,-581,1582,,
CFO/OP,150,161,160,71,-4,146,125,135,94,88,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,66,75,71,62,117,30,20,20,19,15,,
Inventory Days,33,20,37,56,—,—,—,—,—,201,,
Days Payable,366,372,639,605,—,—,—,—,—,494,,
Cash Conversion Cycle,-266,-277,-531,-488,117,30,20,20,19,-278,,
Working Capital Days,-152,-203,-373,-497,-907,-364,-370,-215,-232,-202,,
ROCE %,7,4,5,6,1,5,4,6,7,12,,
